case_id,lambda_value,model_name,seed,fragile_flag,fragile_label,n_points,weight_sum,negative_frequency,negative_frequency_weighted,min_eigenvalue_mean,min_eigenvalue_weighted_mean,min_eigenvalue_q10,min_eigenvalue_q05,spectral_tail_mean,logdet_residual_mean,logdet_residual_weighted_mean,logdet_residual_q90,logdet_residual_q95,euler_density_proxy_mean,euler_density_proxy_weighted_mean,determinant_g_mean,determinant_g_weighted_mean,logdet_g_mean,logdet_g_weighted_mean,logdet_target_mean,logdet_target_weighted_mean,fragility_score_mean,chart_id_mode
cefalu_lambda_1_0,1.0,local,11,False,regular,168.0,164.7321319580078,0.005952380952380952,0.009485095028920651,0.19030961394309998,0.1870473115723808,0.06827417612075806,0.05169180482625961,0.04269359983942088,-0.19971907138824463,-0.28450917886793214,0.7727234363555914,0.9589303314685822,-3.4697744846343994,-3.5624373426966134,0.04783438518643379,0.0458975786028699,-3.4697744846343994,-3.5624373426966134,-3.2700557708740234,-3.277928168351526,0.9991848006185645,3.0
cefalu_lambda_1_0,1.0,local,11,True,fragile,32.0,35.26785659790039,0.03125,0.01363193757231379,0.15519991517066956,0.15658913228743238,0.038121245056390765,0.028285303618758917,0.017885880544781685,-0.6957302093505859,-0.4043814948342346,0.7527186393737794,1.0240327477455138,-4.15873908996582,-3.943760649813488,0.03505266457796097,0.03307938841943162,-4.15873908996582,-3.943760649813488,-3.4630088806152344,-3.539379158229361,0.601180796911029,3.0
cefalu_lambda_1_0,1.0,local,19,False,regular,178.0,182.93661499023438,0.0056179775280898875,0.009761381768495093,0.1927889734506607,0.18601378238205785,0.09390928968787193,0.07110494151711463,0.06358180862541,-0.11059413850307465,-0.1612668890763496,0.5438422441482544,0.6155621886253358,-3.4344849586486816,-3.577509509669713,0.04311855882406235,0.041005961643029776,-3.4344849586486816,-3.577509509669713,-3.3238906860351562,-3.4162426252479543,1.0069720717654176,3.0
cefalu_lambda_1_0,1.0,local,19,True,fragile,22.0,17.063365936279297,0.0,0.0,0.18380217254161835,0.16384646763327732,0.07765636891126633,0.04929721970111132,0.0570393813153108,-0.11542114615440369,-0.1546870575808098,0.5751168727874757,0.5951734662055969,-3.5323469638824463,-3.6867513202693862,0.040569718927145004,0.033984667142357115,-3.5323469638824463,-3.6867513202693862,-3.4169256687164307,-3.5320642626885768,0.5605070982504337,3.0
cefalu_lambda_1_10,1.1,global,7,False,regular,177.0,178.57177734375,0.005649717514124294,0.0023140452679802116,0.1774723082780838,0.1656061488361944,0.07885153293609619,0.06268442273139954,0.05643914213093618,-0.3331223428249359,-0.33139584027848185,0.5389822006225586,0.6405717372894287,-3.5849967002868652,-3.696720087104597,0.04185270145535469,0.03605703738123634,-3.5849967002868652,-3.696720087104597,-3.2518742084503174,-3.3653242468261153,0.991894067451724,3.0
cefalu_lambda_1_10,1.1,global,7,True,fragile,23.0,21.428232192993164,0.043478260869565216,0.08046104389323892,0.18502859771251678,0.17037376941246807,0.08259843736886978,0.0215240583755076,0.028274844400584698,-0.905653178691864,-1.3744257921692704,0.3638034820556642,0.6292687416076657,-3.9686074256896973,-4.613713890290369,0.04423317685723305,0.03735329964964072,-3.9686074256896973,-4.613713890290369,-3.0629544258117676,-3.2392881173045067,0.6180178725456057,3.0
cefalu_lambda_1_10,1.1,global,11,False,regular,165.0,165.6762237548828,0.07272727272727272,0.0712383876695892,0.12080361694097519,0.12003751381264063,0.01645026989281178,-0.011511744186282154,-0.01370940264656811,-2.034254789352417,-2.007216138021426,0.020573520660400375,0.13251452445983855,-5.202357292175293,-5.201609126036957,0.021566420793533325,0.020139973814929702,-5.202357292175293,-5.201609126036957,-3.168102741241455,-3.194392969858072,0.9862105608369481,3.0
cefalu_lambda_1_10,1.1,global,11,True,fragile,35.0,34.323760986328125,0.11428571428571428,0.1417766994329227,0.11768597364425659,0.10983848614547294,-0.0014034047722816401,-0.017550414614379405,-0.019573019817471504,-2.519254207611084,-2.912760061937224,0.06888532638549827,0.22260525226592964,-5.788782119750977,-6.281710906014519,0.019832856953144073,0.01801645432597416,-5.788782119750977,-6.281710906014519,-3.2695279121398926,-3.368950867664543,0.6032095531666286,3.0
cefalu_lambda_1_10,1.1,global,19,False,regular,181.0,185.9282989501953,0.022099447513812154,0.008745394263178273,0.1675424575805664,0.16772406309797053,0.051388077437877655,0.03195343166589737,0.023082935049100535,-0.6647981405258179,-0.45467100828051377,0.7302205562591553,1.1115894317626953,-3.8869669437408447,-3.782983576480513,0.04569324851036072,0.04720101161348733,-3.8869669437408447,-3.782983576480513,-3.2221686840057373,-3.3283125692425313,0.9803675955871681,3.0
cefalu_lambda_1_10,1.1,global,19,True,fragile,19.0,14.071698188781738,0.05263157894736842,0.02888805931102616,0.13970403373241425,0.11215529843918182,0.04410580825060606,0.009296140354126693,-0.009144882205873728,-1.358525037765503,-1.3544956548005702,0.11218557357788074,0.2771953821182245,-4.406147003173828,-4.526775519796608,0.03707496449351311,0.026154614860665035,-4.406147003173828,-4.526775519796608,-3.0476224422454834,-3.172279878770938,0.6186522835416627,3.0
cefalu_lambda_1_10,1.1,local,7,False,regular,177.0,178.57177734375,0.011299435028248588,0.020424364254086284,0.20661626756191254,0.19462416203138969,0.1057252436876297,0.07734384238719941,0.06099038405550851,-0.14482823014259338,-0.26391406304215975,0.7101487159729005,0.9406103610992429,-3.396702289581299,-3.6292383052643378,0.05128632113337517,0.04630721228412781,-3.396702289581299,-3.6292383052643378,-3.2518742084503174,-3.3653242468261153,0.991894067451724,3.0
cefalu_lambda_1_10,1.1,local,7,True,fragile,23.0,21.428232192993164,0.0,0.0,0.20960251986980438,0.18606971591835136,0.1229624330997467,0.09409292191267014,0.07364927992845575,-0.13582709431648254,-0.2926208608256415,0.4319900035858155,0.612064456939697,-3.1987814903259277,-3.531908978130148,0.05312122404575348,0.042816104430213164,-3.1987814903259277,-3.531908978130148,-3.0629544258117676,-3.2392881173045067,0.6180178725456057,3.0
cefalu_lambda_1_10,1.1,local,11,False,regular,165.0,165.6762237548828,0.0,0.0,0.20185232162475586,0.1976719537939135,0.08339845687150957,0.06705849170684815,0.05687153339385986,-0.102872833609581,-0.14539636250447574,0.7225805282592771,0.8444433450698853,-3.270975351333618,-3.3397893323625483,0.05260588973760605,0.04988620580319574,-3.270975351333618,-3.3397893323625483,-3.168102741241455,-3.194392969858072,0.9862105608369481,3.0
cefalu_lambda_1_10,1.1,local,11,True,fragile,35.0,34.323760986328125,0.0,0.0,0.16696393489837646,0.17035294200392384,0.049862504005432136,0.039328750967979435,0.03165567107498646,-0.39119818806648254,-0.1872432213295966,0.7503530979156496,0.8751417636871334,-3.6607260704040527,-3.5561940921514883,0.04161791875958443,0.04280551814813887,-3.6607260704040527,-3.5561940921514883,-3.2695279121398926,-3.368950867664543,0.6032095531666286,3.0
cefalu_lambda_1_10,1.1,local,19,False,regular,181.0,185.9282989501953,0.0055248618784530384,0.009273133422928273,0.20442768931388855,0.19456645896106986,0.10048419237136841,0.07119783759117126,0.06690283808367033,-0.10547475516796112,-0.15716906641008052,0.6379051208496094,0.7110319137573242,-3.3276431560516357,-3.4854816312308365,0.04876890406012535,0.04535355510200905,-3.3276431560516357,-3.4854816312308365,-3.2221686840057373,-3.3283125692425313,0.9803675955871681,3.0
cefalu_lambda_1_10,1.1,local,19,True,fragile,19.0,14.071698188781738,0.0,0.0,0.2265392541885376,0.20137342679055792,0.10035506337881088,0.09647244662046432,0.083891861140728,-0.049808062613010406,-0.14583822418226225,0.5514188766479492,0.5828182220458984,-3.097430944442749,-3.3181181029532,0.05973305180668831,0.04750899672847187,-3.097430944442749,-3.3181181029532,-3.0476224422454834,-3.172279878770938,0.6186522835416627,3.0
