subset,mode,variable,loading,abs_loading,explained_variance_ratio
baseline_fragile_global,PC3,logdet_residual_q95,0.6580672546735992,0.6580672546735992,0.04624197567967359
baseline_fragile_global,PC3,logdet_residual_q90,0.5140078968829895,0.5140078968829895,0.04624197567967359
baseline_fragile_global,PC3,min_eigenvalue_q05,-0.29551618331131624,0.29551618331131624,0.04624197567967359
baseline_fragile_global,PC3,negative_frequency,0.2609249187560532,0.2609249187560532,0.04624197567967359
baseline_fragile_global,PC3,spectral_tail_mean,-0.23107088770472528,0.23107088770472528,0.04624197567967359
baseline_fragile_global,PC3,logdet_target_mean,-0.18217024742425963,0.18217024742425963,0.04624197567967359
baseline_fragile_global,PC3,euler_density_proxy_mean,-0.14925903349719882,0.14925903349719882,0.04624197567967359
baseline_fragile_global,PC3,logdet_g_mean,-0.14925903349719882,0.14925903349719882,0.04624197567967359
baseline_fragile_global,PC3,min_eigenvalue_q10,-0.09424028702906809,0.09424028702906809,0.04624197567967359
baseline_fragile_global,PC3,min_eigenvalue_mean,0.067479346833531,0.067479346833531,0.04624197567967359
baseline_fragile_global,PC3,euler_density_proxy_weighted_mean,0.03774437945497471,0.03774437945497471,0.04624197567967359
baseline_fragile_global,PC3,logdet_residual_mean,-0.03447359386373749,0.03447359386373749,0.04624197567967359
baseline_fragile_global,PC3,determinant_g_mean,0.01215357093669523,0.01215357093669523,0.04624197567967359
baseline_fragile_local,PC1,euler_density_proxy_mean,-0.3104677208392961,0.3104677208392961,0.750637962193938
baseline_fragile_local,PC1,logdet_g_mean,-0.3104677208392961,0.3104677208392961,0.750637962193938
baseline_fragile_local,PC1,euler_density_proxy_weighted_mean,-0.3070840408683558,0.3070840408683558,0.750637962193938
baseline_fragile_local,PC1,min_eigenvalue_q10,-0.300537940759078,0.300537940759078,0.750637962193938
baseline_fragile_local,PC1,negative_frequency,0.29505159145939286,0.29505159145939286,0.750637962193938
baseline_fragile_local,PC1,spectral_tail_mean,-0.2924466602806391,0.2924466602806391,0.750637962193938
baseline_fragile_local,PC1,min_eigenvalue_q05,-0.29233529021113674,0.29233529021113674,0.750637962193938
baseline_fragile_local,PC1,logdet_residual_mean,-0.28479807448947814,0.28479807448947814,0.750637962193938
baseline_fragile_local,PC1,logdet_residual_q95,0.26398060596477063,0.26398060596477063,0.750637962193938
baseline_fragile_local,PC1,logdet_residual_q90,0.2635375155130906,0.2635375155130906,0.750637962193938
baseline_fragile_local,PC1,min_eigenvalue_mean,-0.22931292666051872,0.22931292666051872,0.750637962193938
