variable_i,variable_j,correlation,subset
determinant_g_mean,min_eigenvalue_q10,0.5898848288954427,baseline_fragile_only
logdet_g_mean,min_eigenvalue_q10,0.8734880136950222,baseline_fragile_only
logdet_target_mean,min_eigenvalue_q10,0.22444226992514527,baseline_fragile_only
negative_frequency,min_eigenvalue_q05,-0.8568739276890793,baseline_fragile_only
min_eigenvalue_mean,min_eigenvalue_q05,0.4957576621012528,baseline_fragile_only
min_eigenvalue_q10,min_eigenvalue_q05,0.8929102960206237,baseline_fragile_only
min_eigenvalue_q05,min_eigenvalue_q05,1.0,baseline_fragile_only
spectral_tail_mean,min_eigenvalue_q05,0.9802480342644115,baseline_fragile_only
logdet_residual_mean,min_eigenvalue_q05,0.8970945570578307,baseline_fragile_only
logdet_residual_q90,min_eigenvalue_q05,0.17595290144157485,baseline_fragile_only
logdet_residual_q95,min_eigenvalue_q05,0.11046904527235858,baseline_fragile_only
euler_density_proxy_mean,min_eigenvalue_q05,0.8117603591949196,baseline_fragile_only
euler_density_proxy_weighted_mean,min_eigenvalue_q05,0.8231466141523394,baseline_fragile_only
determinant_g_mean,min_eigenvalue_q05,0.39602050062959265,baseline_fragile_only
logdet_g_mean,min_eigenvalue_q05,0.8117603591949196,baseline_fragile_only
logdet_target_mean,min_eigenvalue_q05,0.0011846659845352262,baseline_fragile_only
negative_frequency,spectral_tail_mean,-0.8927249638224348,baseline_fragile_only
min_eigenvalue_mean,spectral_tail_mean,0.4763010421671638,baseline_fragile_only
min_eigenvalue_q10,spectral_tail_mean,0.89514715695088,baseline_fragile_only
min_eigenvalue_q05,spectral_tail_mean,0.9802480342644115,baseline_fragile_only
spectral_tail_mean,spectral_tail_mean,1.0,baseline_fragile_only
logdet_residual_mean,spectral_tail_mean,0.9209136455419558,baseline_fragile_only
logdet_residual_q90,spectral_tail_mean,0.17330824171637046,baseline_fragile_only
logdet_residual_q95,spectral_tail_mean,0.11698110327915948,baseline_fragile_only
euler_density_proxy_mean,spectral_tail_mean,0.8191922768950209,baseline_fragile_only
euler_density_proxy_weighted_mean,spectral_tail_mean,0.8210063482318817,baseline_fragile_only
determinant_g_mean,spectral_tail_mean,0.3547935262988422,baseline_fragile_only
logdet_g_mean,spectral_tail_mean,0.8191922768950209,baseline_fragile_only
logdet_target_mean,spectral_tail_mean,-0.027215005796710854,baseline_fragile_only
negative_frequency,logdet_residual_mean,-0.9207709469740817,baseline_fragile_only
min_eigenvalue_mean,logdet_residual_mean,0.5187153249242688,baseline_fragile_only
min_eigenvalue_q10,logdet_residual_mean,0.8427250224139994,baseline_fragile_only
min_eigenvalue_q05,logdet_residual_mean,0.8970945570578307,baseline_fragile_only
spectral_tail_mean,logdet_residual_mean,0.9209136455419559,baseline_fragile_only
logdet_residual_mean,logdet_residual_mean,1.0,baseline_fragile_only
logdet_residual_q90,logdet_residual_mean,0.3509278736618997,baseline_fragile_only
logdet_residual_q95,logdet_residual_mean,0.3200573107594119,baseline_fragile_only
euler_density_proxy_mean,logdet_residual_mean,0.8686566286417511,baseline_fragile_only
euler_density_proxy_weighted_mean,logdet_residual_mean,0.8988922793162432,baseline_fragile_only
determinant_g_mean,logdet_residual_mean,0.391310618393229,baseline_fragile_only
logdet_g_mean,logdet_residual_mean,0.8686566286417511,baseline_fragile_only
logdet_target_mean,logdet_residual_mean,-0.0716034139378401,baseline_fragile_only
negative_frequency,logdet_residual_q90,-0.04499206779893549,baseline_fragile_only
min_eigenvalue_mean,logdet_residual_q90,0.3623719402211139,baseline_fragile_only
min_eigenvalue_q10,logdet_residual_q90,0.1375651385885185,baseline_fragile_only
min_eigenvalue_q05,logdet_residual_q90,0.17595290144157485,baseline_fragile_only
spectral_tail_mean,logdet_residual_q90,0.17330824171637046,baseline_fragile_only
logdet_residual_mean,logdet_residual_q90,0.3509278736618997,baseline_fragile_only
logdet_residual_q90,logdet_residual_q90,0.9999999999999998,baseline_fragile_only
logdet_residual_q95,logdet_residual_q90,0.9485180352865951,baseline_fragile_only
euler_density_proxy_mean,logdet_residual_q90,0.16390893613174193,baseline_fragile_only
euler_density_proxy_weighted_mean,logdet_residual_q90,0.18588294383870568,baseline_fragile_only
determinant_g_mean,logdet_residual_q90,0.28337677167306713,baseline_fragile_only
logdet_g_mean,logdet_residual_q90,0.16390893613174193,baseline_fragile_only
logdet_target_mean,logdet_residual_q90,-0.3088600906623538,baseline_fragile_only
negative_frequency,logdet_residual_q95,-0.05105513404701922,baseline_fragile_only
min_eigenvalue_mean,logdet_residual_q95,0.3106311222338963,baseline_fragile_only
min_eigenvalue_q10,logdet_residual_q95,0.07462356609844423,baseline_fragile_only
min_eigenvalue_q05,logdet_residual_q95,0.11046904527235858,baseline_fragile_only
spectral_tail_mean,logdet_residual_q95,0.11698110327915948,baseline_fragile_only
